ID_ARTICLE,DESC_SECTION,PICTURES,CHEST_OVER_FRONT_LENGTH,SLEEVE_LENGTH_OVER_FRONT_LENGTH,BACK_WIDTH_OVER_ARM_WIDTH,HIP_OVER_WAIST,FRONT_LENGTH_OVER_CHEST,BACK_RISE_OVER_FRONT_RISE
long_sleeve_dress_1,,[],0.23306742383559684,0.4506484488478903,,1.4764213391484504,4.290603909988677,
long_sleeve_dress_10,,[],0.2232305409883214,0.49638962251133484,,1.1818531463359285,4.479673773904962,
long_sleeve_dress_2,,[],0.2608394849837268,0.5785041148008435,,1.422222840741292,3.833775396629034,
long_sleeve_dress_3,,[],0.21711142794381028,0.44901086770186444,,1.4304216173020448,4.605929818944427,
long_sleeve_dress_4,,[],0.3318198119523743,0.6053159438662082,,1.3241736032744087,3.0136838247124578,
long_sleeve_dress_5,,[],0.3239547829847466,0.6098840441280673,,1.523028765569772,3.0868505499024685,
long_sleeve_dress_6,,[],0.21475579922675248,0.4919466225949383,,1.2017690254879498,4.6564516702253895,
long_sleeve_dress_7,,[],0.21082127070436546,0.5064206327494092,,1.3465346534653462,4.743354390469923,
long_sleeve_dress_8,,[],0.2322159462901321,0.5279413482536053,,1.3021943853200764,4.306336476783526,
long_sleeve_dress_9,,[],0.24750889634730808,0.5265480753322435,,1.4106915395132946,4.0402588139570765,
long_sleeve_top_1,,[],0.5073884014196219,1.3069651045896629,5.089415547238429,,1.9708767429489917,
long_sleeve_top_10,,[],0.4860235541697579,1.0718826687583538,4.39081568602533,,2.0575134505738806,
long_sleeve_top_2,,[],0.4768168335830364,1.0412257559957332,4.41135826076822,,2.097241392434717,
long_sleeve_top_3,,[],0.4921423048880029,1.1941293625684877,4.089357131106676,,2.0319326139368785,
long_sleeve_top_4,,[],0.5209821956146712,1.2058643916364484,4.841576580061388,,1.919451390887108,
long_sleeve_top_5,,[],0.4527426628765173,0.9612221141079312,4.499465736102974,,2.2087602560944064,
long_sleeve_top_6,,[],0.480002809600435,0.9529994298070372,4.269676872738924,,2.083321138958379,
long_sleeve_top_7,,[],0.5040520940618587,1.0650529591216782,4.4466357465084805,,1.9839219235091148,
long_sleeve_top_8,,[],0.46693776088549577,1.010019125954904,4.0437507518528015,,2.1416130451810336,
long_sleeve_top_9,,[],0.5177131021098121,1.0004595858274763,4.199507090842488,,1.9315717449003058,
shorts_1,,[],,,,1.3000072978106438,,
shorts_10,,[],,,,1.2032142294460813,,
shorts_2,,[],,,,1.2038868548433974,,
shorts_3,,[],,,,1.1861444094432467,,
shorts_4,,[],,,,1.2584890470545944,,
shorts_5,,[],,,,1.2681280215678208,,
shorts_6,,[],,,,1.3349971181353222,,
shorts_7,,[],,,,1.1893176544638109,,
shorts_8,,[],,,,1.1427108059483373,,
shorts_9,,[],,,,1.1939415424205648,,
short_sleeve_dress_1,,[],0.24069188342367207,0.1694629340340486,,1.3486334846084367,4.1546893305071455,
short_sleeve_dress_10,,[],0.23455233059614278,0.1441976564115415,,1.366116213842243,4.2634409023281945,
short_sleeve_dress_2,,[],0.22207952612660195,0.21773266247274137,,1.3261477943939377,4.5028914526318164,
short_sleeve_dress_3,,[],0.3188481782458088,0.23757557436766455,,1.2128393860242335,3.136288893045118,
short_sleeve_dress_4,,[],0.20971939147442328,0.08797005294401672,,1.6126737160701914,4.768276280841473,
short_sleeve_dress_5,,[],0.22672522052764724,0.15228311525362473,,1.3465466100086414,4.41062532731359,
short_sleeve_dress_6,,[],0.226541328417944,0.1934201968217121,,1.3585233224562359,4.414205597643134,
short_sleeve_dress_7,,[],0.338586410401629,0.3261779951727045,,1.4409837110304318,2.9534558070827663,
short_sleeve_dress_8,,[],0.2509684879840042,0.17524554467178394,,1.415304903995844,3.984563990614377,
short_sleeve_dress_9,,[],0.24413679630292592,0.15299857745889783,,1.4999999999999998,4.096064235885179,
short_sleeve_top_1,,[],0.706340042853244,0.25595023545751644,2.123235143602425,,1.4157487036421204,
short_sleeve_top_10,,[],0.49550241654361366,0.3516988358933327,3.41106894739848,,2.01815362874619,
short_sleeve_top_2,,[],0.548861610410268,0.3534616453224821,3.21369074731262,,1.8219528949246624,
short_sleeve_top_3,,[],0.4514861066794886,0.2640067325383246,3.8364992254755994,,2.2149075801127656,
short_sleeve_top_4,,[],0.4515405524879561,0.23469299777525643,2.827662409635624,,2.214640511223348,
short_sleeve_top_5,,[],0.7181790751164806,0.2877460150729999,2.395535865795473,,1.3924103815442008,
short_sleeve_top_6,,[],0.4742409665017194,0.3064390906206672,3.311013792285113,,2.108632679661963,
short_sleeve_top_7,,[],0.5041352759266599,0.3271141196385766,2.9949956483466686,,1.9835945781851558,
short_sleeve_top_8,,[],0.5208105505864804,0.3382265555537681,3.512743670763702,,1.9200839899919624,
short_sleeve_top_9,,[],0.4889659252856749,0.16850390163567322,3.256818397927186,,2.0451322848637297,
skirt_1,,[],,,,1.3714312806874838,,
skirt_10,,[],,,,1.1377018880470524,,
skirt_2,,[],,,,1.2980016757095207,,
skirt_3,,[],,,,1.2508706020899245,,
skirt_4,,[],,,,1.0981559799347569,,
skirt_5,,[],,,,1.2145751639364957,,
skirt_6,,[],,,,1.0909238872102631,,
skirt_7,,[],,,,1.2237528112563831,,
skirt_8,,[],,,,1.3251597775442994,,
skirt_9,,[],,,,1.1748585551733788,,
trousers_1,,[],,,,1.3062135245151532,,
trousers_10,,[],,,,1.1178334287021745,,
trousers_2,,[],,,,1.1946945332218764,,
trousers_3,,[],,,,1.1758219931219014,,
trousers_4,,[],,,,1.1437547696550345,,
trousers_5,,[],,,,1.1939328491491397,,
trousers_6,,[],,,,1.243962217597557,,
trousers_7,,[],,,,1.1029183444824782,,
trousers_8,,[],,,,1.3191680010823963,,
trousers_9,,[],,,,1.1626721243896108,,
vest_1,,[],0.7786401584910423,,,,1.284290296480392,
vest_10,,[],0.6438404373205325,,,,1.553179859534289,
vest_2,,[],0.5746228654706965,,,,1.740271854968493,
vest_3,,[],0.5543032283993004,,,,1.8040667071122225,
vest_4,,[],0.794475531156249,,,,1.2586920059635298,
vest_5,,[],0.5346819276369477,,,,1.870270806457865,
vest_6,,[],0.453740170132715,,,,2.2039044938593575,
vest_7,,[],0.7371207619030901,,,,1.3566298111291986,
vest_8,,[],0.8915418731296363,,,,1.1216523083650982,
vest_9,,[],0.8517048699432432,,,,1.1741156300616655,
vest_dress_1,,[],0.45957279782221727,,,1.172007792075235,2.1759338340709267,
vest_dress_10,,[],0.35813595812030363,,,1.0946988295822995,2.7922356784517124,
vest_dress_2,,[],0.31366284426907737,,,1.1053175557004526,3.1881366195294225,
vest_dress_3,,[],0.2721635022801974,,,1.1519999999999997,3.6742619477702094,
vest_dress_4,,[],0.21267953993781588,,,1.1327586625988288,4.701909738437388,
vest_dress_5,,[],0.4348139481200053,,,1.2102130835872853,2.2998342263942457,
vest_dress_6,,[],0.27228358191356633,,,1.1312626692881889,3.672641563520491,
vest_dress_7,,[],0.2348895168779922,,,1.2062976794274853,4.25732068970718,
vest_dress_8,,[],0.26430253536760545,,,1.1609107064723903,3.7835429713496658,
vest_dress_9,,[],0.37688645938169935,,,1.2260068448035493,2.65331899065981,
