ID_ARTICLE,DESC_SECTION,PICTURES,CHEST_OVER_FRONT_LENGHT,SLEEVE_LENGHT_OVER_FRONT_LENGHT,BACK_WIDTH_OVER_ARM_WIDTH,HIP_OVER_WAIST,FRONT_LENGHT_OVER_CHEST,BACK_RISE_OVER_FRONT_RISE
3141899,Señora,"[
  ""https://static.zara.net/assets/public/a66a/ae52/98794b4f8be0/4b8d43e465d0/04688213800-e1.jpg?ts=1730259675741"",
  ""https://static.zara.net/assets/public/cf28/0aa1/7a614d0ca975/7f921460fc36/04688213809-e1.jpg?ts=1730259697238""
]",0.416184971098,0.693641618497,,1.483333333333,2.402777777778,
3160479,Señora,"[
  ""https://static.zara.net/assets/public/224e/7339/66cd43818106/79db5c8b7bab/09000371518-e1.jpg?ts=1730265251873"",
  ""https://static.zara.net/assets/public/84d4/2862/054f46e9baa4/3105e031e0c7/09000371832-e1.jpg?ts=1730265269531""
]",0.301587301587,,,1.473684210526,3.315789473684,
3164904,Señora,"[
  ""https://static.zara.net/assets/public/bad5/9b97/1595410a8826/afa9c659a2fa/00264844529-e1.jpg?ts=1730303320371"",
  ""https://static.zara.net/assets/public/0aa1/2c4f/6ec94eb88b17/ecc67485d20a/00264844800-e1.jpg?ts=1730303340489""
]",0.300000000000,0.554545454545,,1.548387096774,3.333333333333,
3169851,Señora,"[
  ""https://static.zara.net/assets/public/489f/5df2/900143d6b92f/46ddd0755aca/09095987800-e1.jpg?ts=1730242375202"",
  ""https://static.zara.net/assets/public/cb5e/e65a/7ba740edbff5/45690e53437a/09095987800-e2.jpg?ts=1730242375115""
]",0.229629629630,0.429629629630,,1.464285714286,4.354838709677,
3182314,Señora,"[
  ""https://static.zara.net/assets/public/fe4a/3e2b/2d124bb98012/4da0822bd962/04174667800-e1.jpg?ts=1730542732207"",
  ""https://static.zara.net/assets/public/0ea9/5d44/f85c4ed1b2d7/d99f454f16d5/04174667532-e1.jpg?ts=1730542712557""
]",0.303278688525,0.196721311475,,1.235294117647,3.297297297297,
3235689,Señora,"[
  ""https://static.zara.net/assets/public/b04f/2554/328c46719e70/1a706218e954/00881304250-e1.jpg?ts=1730396712432"",
  ""https://static.zara.net/assets/public/9977/3341/5a0e497d9971/996976ebef16/00881304800-e1.jpg?ts=1730396738979""
]",0.487500000000,,,1.486486486486,2.051282051282,
3235820,Señora,"[
  ""https://static.zara.net/assets/public/ce2d/060d/002f4063aaba/599a34d3f5ab/07901879800-e1.jpg?ts=1730272076102"",
  ""https://static.zara.net/assets/public/a2d9/9a86/710b467796b3/1a51d23b4449/07901879720-e1.jpg?ts=1730272054754""
]",0.303278688525,0.491803278689,,1.206896551724,3.297297297297,
3282531,Señora,"[
  ""https://static.zara.net/assets/public/a2f5/c793/5b7640edaff4/2174054b67dd/05039817721-e1.jpg?ts=1730300761084"",
  ""https://static.zara.net/assets/public/ce4a/db45/7470499a8333/e0e346b70478/05039817824-e1.jpg?ts=1730541735498""
]",0.456790123457,0.283950617284,,1.102564102564,2.189189189189,
3283969,Señora,"[
  ""https://static.zara.net/assets/public/0ea9/5d44/f85c4ed1b2d7/d99f454f16d5/04174667532-e1.jpg?ts=1730542712557"",
  ""https://static.zara.net/assets/public/fe4a/3e2b/2d124bb98012/4da0822bd962/04174667800-e1.jpg?ts=1730542732207""
]",0.303278688525,0.196721311475,,1.235294117647,3.297297297297,
3295683,Señora,"[
  ""https://static.zara.net/assets/public/406d/51dc/7f1b4804befa/18b1c7a6dec2/06895245400-e2.jpg?ts=1730387847121"",
  ""https://static.zara.net/assets/public/1713/77db/70ab4eb4969f/bf1b5e299ba6/06895245400-e1.jpg?ts=1730387846948""
]",0.288000000000,,,1.628571428571,3.472222222222,
